epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,13,,,0.3548993468284607,0.5759376883506775
0,13,0.6616998910903931,,,
1,27,,,0.3704698085784912,0.5248834490776062
1,27,0.5538626313209534,,,
2,41,,,0.389530211687088,0.4796445965766907
2,41,0.5069804787635803,,,
3,49,,0.48754799365997314,,
3,55,,,0.4413422644138336,0.45293909311294556
3,55,0.4782661497592926,,,
4,69,,,0.5597315430641174,0.42598456144332886
4,69,0.4525097608566284,,,
5,83,,,0.6265771985054016,0.3965206742286682
5,83,0.42544326186180115,,,
6,97,,,0.6842952966690063,0.3973791301250458
6,97,0.40749505162239075,,,
7,99,,0.3938188850879669,,
7,111,,,0.7205369472503662,0.3745943605899811
7,111,0.4099741578102112,,,
8,125,,,0.7573153972625732,0.3620315194129944
8,125,0.3805803656578064,,,
9,139,,,0.7863087058067322,0.3711133599281311
9,139,0.3638867139816284,,,
10,149,,0.3902569115161896,,
10,153,,,0.7779865860939026,0.35628730058670044
10,153,0.37564030289649963,,,
11,167,,,0.7707382440567017,0.35097524523735046
11,167,0.3700721263885498,,,
12,181,,,0.787651002407074,0.37332683801651
12,181,0.35835716128349304,,,
13,195,,,0.775301992893219,0.3442654311656952
13,195,0.35188066959381104,,,
14,199,,0.351296067237854,,
14,209,,,0.7881879210472107,0.34133636951446533
14,209,0.3423740267753601,,,
15,223,,,0.7930201292037964,0.3391113877296448
15,223,0.33061036467552185,,,
16,237,,,0.8096644282341003,0.33275923132896423
16,237,0.3297187089920044,,,
17,249,,0.24719004333019257,,
17,251,,,0.809395968914032,0.3309318423271179
17,251,0.32367751002311707,,,
18,265,,,0.8281879425048828,0.3301950991153717
18,265,0.332248330116272,,,
19,279,,,0.8335570096969604,0.3222181499004364
19,279,0.3253786265850067,,,
20,293,,,0.8327516317367554,0.3169662356376648
20,293,0.3110233247280121,,,
21,299,,0.24271276593208313,,
21,307,,,0.8263087272644043,0.32564300298690796
21,307,0.30549582839012146,,,
22,321,,,0.846174418926239,0.314300000667572
22,321,0.3263438940048218,,,
23,335,,,0.8483221530914307,0.3111056089401245
23,335,0.3014501631259918,,,
24,349,,0.28997886180877686,,
24,349,,,0.8335570693016052,0.31594616174697876
24,349,0.2998773455619812,,,
25,363,,,0.847785234451294,0.3125687837600708
25,363,0.2890709340572357,,,
26,377,,,0.849932849407196,0.3071965277194977
26,377,0.28471285104751587,,,
27,391,,,0.8502013087272644,0.30898919701576233
27,391,0.27580296993255615,,,
28,399,,0.2359275370836258,,
28,405,,,0.8520805239677429,0.30785295367240906
28,405,0.2823663651943207,,,
29,419,,,0.8399999737739563,0.3192484974861145
29,419,0.28534135222435,,,
30,433,,,0.854228138923645,0.3082970678806305
30,433,0.266401469707489,,,
31,447,,,0.8467113971710205,0.3202172517776489
31,447,0.2692817449569702,,,
32,449,,0.11292409896850586,,
32,461,,,0.8625503182411194,0.2998979985713959
32,461,0.2716370224952698,,,
33,475,,,0.8488590717315674,0.31533509492874146
33,475,0.2709810435771942,,,
34,489,,,0.8563758134841919,0.32691895961761475
34,489,0.2502242922782898,,,
35,499,,0.2540895342826843,,
35,503,,,0.8539596796035767,0.3181137442588806
35,503,0.25037819147109985,,,
36,517,,,0.8544966578483582,0.3181794583797455
36,517,0.25428280234336853,,,
37,531,,,0.8520805239677429,0.3143368363380432
37,531,0.2551320195198059,,,
38,545,,,0.8445637822151184,0.33096936345100403
38,545,0.24556681513786316,,,
39,549,,0.15183690190315247,,
39,559,,,0.8426845669746399,0.32991355657577515
39,559,0.24178582429885864,,,
40,573,,,0.8480536937713623,0.32626795768737793
40,573,0.2523953318595886,,,
41,587,,,0.8464429378509521,0.33049842715263367
41,587,0.2322932928800583,,,
42,599,,0.32651466131210327,,
42,601,,,0.8523489832878113,0.3281947672367096
42,601,0.23998060822486877,,,
