epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,49,,0.5157984495162964,,
0,73,,,0.7456334233283997,0.5036160945892334
0,73,0.5964986681938171,,,
1,99,,0.44676998257637024,,
1,147,,,0.7849216461181641,0.4798165559768677
1,147,0.49929484724998474,,,
2,149,,0.5605978965759277,,
2,199,,0.4303479492664337,,
2,221,,,0.8494024276733398,0.4164738655090332
2,221,0.4676577150821686,,,
3,249,,0.40770161151885986,,
3,295,,,0.8596999645233154,0.41265955567359924
3,295,0.44598743319511414,,,
4,299,,0.29338112473487854,,
4,349,,0.4193821847438812,,
4,369,,,0.8761562705039978,0.3791578710079193
4,369,0.40880945324897766,,,
5,399,,0.45460793375968933,,
5,443,,,0.8841242790222168,0.3757582902908325
5,443,0.4015449285507202,,,
6,449,,0.4162401854991913,,
6,499,,0.76922607421875,,
6,517,,,0.8872159719467163,0.3673354685306549
6,517,0.3866243064403534,,,
7,549,,0.4753251373767853,,
7,591,,,0.8882321119308472,0.36392277479171753
7,591,0.37858113646507263,,,
8,599,,0.26179239153862,,
8,649,,0.29627102613449097,,
8,665,,,0.8924577236175537,0.35148191452026367
8,665,0.35863739252090454,,,
9,699,,0.38532036542892456,,
9,739,,,0.8946139216423035,0.3543609380722046
9,739,0.3464130759239197,,,
10,749,,0.4171024262905121,,
10,799,,0.2964682877063751,,
10,813,,,0.9008656144142151,0.3350736200809479
10,813,0.3414710760116577,,,
11,849,,0.2803081274032593,,
11,887,,,0.9024083018302917,0.33992043137550354
11,887,0.3297159671783447,,,
12,899,,0.3652436137199402,,
12,949,,0.32146450877189636,,
12,961,,,0.8991554975509644,0.35869070887565613
12,961,0.32359030842781067,,,
13,999,,0.374538391828537,,
13,1035,,,0.9063303470611572,0.3301025927066803
13,1035,0.31408926844596863,,,
14,1049,,0.3710262179374695,,
14,1099,,0.41979295015335083,,
14,1109,,,0.902296781539917,0.3497684895992279
14,1109,0.3136003911495209,,,
15,1149,,0.2317381501197815,,
15,1183,,,0.9072287678718567,0.3281749188899994
15,1183,0.3001576364040375,,,
16,1199,,0.323444128036499,,
16,1249,,0.19952768087387085,,
16,1257,,,0.9119004607200623,0.33523961901664734
16,1257,0.2995966672897339,,,
17,1299,,0.37764519453048706,,
17,1331,,,0.9105931520462036,0.3231172263622284
17,1331,0.2973077595233917,,,
18,1349,,0.4389644265174866,,
18,1399,,0.4551248848438263,,
18,1405,,,0.9109834432601929,0.3421582877635956
18,1405,0.2874111831188202,,,
19,1449,,0.43303582072257996,,
19,1479,,,0.9081519842147827,0.3270983397960663
19,1479,0.29148873686790466,,,
20,1499,,0.25076812505722046,,
20,1549,,0.2869558036327362,,
20,1553,,,0.9141372442245483,0.31853967905044556
20,1553,0.2794893980026245,,,
21,1599,,0.21049316227436066,,
21,1627,,,0.9084803462028503,0.3447502553462982
21,1627,0.27006977796554565,,,
22,1649,,0.16205145418643951,,
22,1699,,0.35799553990364075,,
22,1701,,,0.9154692888259888,0.31893113255500793
22,1701,0.27087047696113586,,,
23,1749,,0.2586768865585327,,
23,1775,,,0.9093787670135498,0.3352470099925995
23,1775,0.26621440052986145,,,
24,1799,,0.13594837486743927,,
24,1849,,0.21847271919250488,,
24,1849,,,0.9130963087081909,0.32486632466316223
24,1849,0.25957879424095154,,,
25,1899,,0.2918645143508911,,
25,1923,,,0.9131767749786377,0.3507480025291443
25,1923,0.25791218876838684,,,
26,1949,,0.2926569879055023,,
26,1997,,,0.9137654304504395,0.33050861954689026
26,1997,0.2610415816307068,,,
27,1999,,0.20455631613731384,,
27,2049,,0.2379138171672821,,
27,2071,,,0.9114977121353149,0.33633169531822205
27,2071,0.24719883501529694,,,
28,2099,,0.2984328269958496,,
28,2145,,,0.9155126810073853,0.31975242495536804
28,2145,0.246258944272995,,,
29,2149,,0.26323506236076355,,
29,2199,,0.28042107820510864,,
29,2219,,,0.9142796993255615,0.3289474844932556
29,2219,0.24555015563964844,,,
30,2249,,0.38961055874824524,,
30,2293,,,0.9147567749023438,0.3262403905391693
30,2293,0.2374829351902008,,,
