,0,1
0,knn_seed_0_skf_0_paras_0_K_3,"[104, 3, 8, 6, 0.9090909090909091, 0.8508010680907877, 0.42857142857142855, 0.9719626168224299, 0.6666666666666666, 0.9285714285714286, 0.5217391304347826, 0.48827566216047374]"
1,knn_seed_0_skf_1_paras_0_K_3,"[104, 3, 10, 4, 0.8925619834710744, 0.77369826435247, 0.2857142857142857, 0.9719626168224299, 0.5714285714285714, 0.9122807017543859, 0.38095238095238093, 0.3530449082511607]"
2,knn_seed_0_skf_2_paras_0_K_3,"[104, 3, 14, 0, 0.859504132231405, 0.7029372496662216, 0.0, 0.9719626168224299, 0.0, 0.8813559322033898, 0.0, -0.05767555106420019]"
3,knn_seed_0_skf_3_paras_0_K_3,"[98, 9, 8, 6, 0.859504132231405, 0.7887182910547397, 0.42857142857142855, 0.9158878504672897, 0.4, 0.9245283018867925, 0.4137931034482759, 0.33434530787134437]"
4,knn_seed_0_skf_4_paras_0_K_3,"[103, 4, 10, 4, 0.8842975206611571, 0.7202937249666221, 0.2857142857142857, 0.9626168224299065, 0.5, 0.911504424778761, 0.36363636363636365, 0.31967068963473666]"
5,knn_seed_1_skf_0_paras_0_K_3,"[101, 6, 9, 5, 0.8760330578512396, 0.7393190921228304, 0.35714285714285715, 0.9439252336448598, 0.45454545454545453, 0.9181818181818182, 0.4, 0.33498699733648274]"
6,knn_seed_1_skf_1_paras_0_K_3,"[105, 2, 10, 4, 0.9008264462809917, 0.8124165554072096, 0.2857142857142857, 0.9813084112149533, 0.6666666666666666, 0.9130434782608695, 0.4, 0.39344093119017337]"
7,knn_seed_1_skf_2_paras_0_K_3,"[105, 2, 13, 1, 0.8760330578512396, 0.6231642189586115, 0.07142857142857142, 0.9813084112149533, 0.3333333333333333, 0.8898305084745762, 0.11764705882352941, 0.10848496509694798]"
8,knn_seed_1_skf_3_paras_0_K_3,"[107, 0, 11, 3, 0.9090909090909091, 0.8194259012016021, 0.21428571428571427, 1.0, 1.0, 0.9067796610169492, 0.35294117647058826, 0.4408059974192443]"
9,knn_seed_1_skf_4_paras_0_K_3,"[101, 6, 10, 4, 0.8677685950413223, 0.8437917222963952, 0.2857142857142857, 0.9439252336448598, 0.4, 0.9099099099099099, 0.3333333333333333, 0.26677249250315854]"
10,knn_seed_2_skf_0_paras_0_K_3,"[102, 5, 10, 4, 0.8760330578512396, 0.746995994659546, 0.2857142857142857, 0.9532710280373832, 0.4444444444444444, 0.9107142857142857, 0.34782608695652173, 0.29133781175574935]"
11,knn_seed_2_skf_1_paras_0_K_3,"[103, 4, 9, 5, 0.8925619834710744, 0.7553404539385847, 0.35714285714285715, 0.9626168224299065, 0.5555555555555556, 0.9196428571428571, 0.43478260869565216, 0.3898067369581116]"
12,knn_seed_2_skf_2_paras_0_K_3,"[102, 5, 7, 7, 0.9008264462809917, 0.753671562082777, 0.5, 0.9532710280373832, 0.5833333333333334, 0.9357798165137615, 0.5384615384615384, 0.48507623225521657]"
13,knn_seed_2_skf_3_paras_0_K_3,"[103, 4, 9, 5, 0.8925619834710744, 0.8254339118825099, 0.35714285714285715, 0.9626168224299065, 0.5555555555555556, 0.9196428571428571, 0.43478260869565216, 0.3898067369581116]"
14,knn_seed_2_skf_4_paras_0_K_3,"[102, 5, 11, 3, 0.8677685950413223, 0.6959279038718291, 0.21428571428571427, 0.9532710280373832, 0.375, 0.9026548672566371, 0.2727272727272727, 0.21569178252236265]"
15,knn_seed_3_skf_0_paras_0_K_3,"[104, 3, 11, 3, 0.8842975206611571, 0.6972630173564753, 0.21428571428571427, 0.9719626168224299, 0.5, 0.9043478260869565, 0.3, 0.2744250495051459]"
16,knn_seed_3_skf_1_paras_0_K_3,"[104, 3, 8, 6, 0.9090909090909091, 0.880173564753004, 0.42857142857142855, 0.9719626168224299, 0.6666666666666666, 0.9285714285714286, 0.5217391304347826, 0.48827566216047374]"
17,knn_seed_3_skf_2_paras_0_K_3,"[98, 9, 8, 6, 0.859504132231405, 0.7283044058744993, 0.42857142857142855, 0.9158878504672897, 0.4, 0.9245283018867925, 0.4137931034482759, 0.33434530787134437]"
18,knn_seed_3_skf_3_paras_0_K_3,"[106, 1, 11, 3, 0.9008264462809917, 0.7172897196261682, 0.21428571428571427, 0.9906542056074766, 0.75, 0.905982905982906, 0.3333333333333333, 0.3666566298370171]"
19,knn_seed_3_skf_4_paras_0_K_3,"[101, 6, 10, 4, 0.8677685950413223, 0.750667556742323, 0.2857142857142857, 0.9439252336448598, 0.4, 0.9099099099099099, 0.3333333333333333, 0.26677249250315854]"
20,knn_seed_4_skf_0_paras_0_K_3,"[103, 4, 12, 2, 0.8677685950413223, 0.7029372496662216, 0.14285714285714285, 0.9626168224299065, 0.3333333333333333, 0.8956521739130435, 0.2, 0.1554091678201185]"
21,knn_seed_4_skf_1_paras_0_K_3,"[103, 4, 9, 5, 0.8925619834710744, 0.7940587449933244, 0.35714285714285715, 0.9626168224299065, 0.5555555555555556, 0.9196428571428571, 0.43478260869565216, 0.3898067369581116]"
