,0,1
0,rf_seed_0_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[98, 9, 7, 7, 0.8677685950413223, 0.8724966622162884, 0.5, 0.9158878504672897, 0.4375, 0.9333333333333333, 0.4666666666666667, 0.3927150084751281]"
1,rf_seed_0_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[97, 10, 5, 9, 0.8760330578512396, 0.8971962616822431, 0.6428571428571429, 0.9065420560747663, 0.47368421052631576, 0.9509803921568627, 0.5454545454545454, 0.4830221449673667]"
2,rf_seed_0_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[97, 10, 12, 2, 0.8181818181818182, 0.7069425901201603, 0.14285714285714285, 0.9065420560747663, 0.16666666666666666, 0.8899082568807339, 0.15384615384615383, 0.052865450937976476]"
3,rf_seed_0_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[96, 11, 8, 6, 0.8429752066115702, 0.7623497997329772, 0.42857142857142855, 0.897196261682243, 0.35294117647058826, 0.9230769230769231, 0.3870967741935484, 0.2998629332841936]"
4,rf_seed_0_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[96, 11, 7, 7, 0.8512396694214877, 0.7817089452603472, 0.5, 0.897196261682243, 0.3888888888888889, 0.9320388349514563, 0.43750000000000006, 0.3570312201748978]"
5,rf_seed_1_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[96, 11, 8, 6, 0.8429752066115702, 0.7303070761014686, 0.42857142857142855, 0.897196261682243, 0.35294117647058826, 0.9230769230769231, 0.3870967741935484, 0.2998629332841936]"
6,rf_seed_1_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[100, 7, 8, 6, 0.8760330578512396, 0.7970627503337784, 0.42857142857142855, 0.9345794392523364, 0.46153846153846156, 0.9259259259259259, 0.4444444444444445, 0.3751106884087627]"
7,rf_seed_1_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[100, 7, 11, 3, 0.8512396694214877, 0.7229639519359146, 0.21428571428571427, 0.9345794392523364, 0.3, 0.9009009009009009, 0.25, 0.17293681926803592]"
8,rf_seed_1_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[99, 8, 9, 5, 0.859504132231405, 0.7837116154873164, 0.35714285714285715, 0.9252336448598131, 0.38461538461538464, 0.9166666666666666, 0.3703703703703704, 0.2916761419060783]"
9,rf_seed_1_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[93, 14, 6, 8, 0.8347107438016529, 0.829105473965287, 0.5714285714285714, 0.8691588785046729, 0.36363636363636365, 0.9393939393939394, 0.4444444444444444, 0.3653920476209348]"
