,0,1
0,lr_seed_0_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[99, 20, 14, 7, 0.7571428571428571, 0.5994397759103642, 0.3333333333333333, 0.8319327731092437, 0.25925925925925924, 0.8761061946902655, 0.2916666666666667, 0.1495704567121125]"
1,lr_seed_0_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[107, 12, 9, 12, 0.85, 0.7699079631852742, 0.5714285714285714, 0.8991596638655462, 0.5, 0.9224137931034483, 0.5333333333333333, 0.4458508287089374]"
2,lr_seed_0_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[112, 6, 10, 10, 0.8840579710144928, 0.7597457627118644, 0.5, 0.9491525423728814, 0.625, 0.9180327868852459, 0.5555555555555556, 0.4938669424261349]"
3,lr_seed_0_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[110, 8, 8, 12, 0.8840579710144928, 0.8508474576271187, 0.6, 0.9322033898305084, 0.6, 0.9322033898305084, 0.6, 0.5322033898305085]"
4,lr_seed_0_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[106, 12, 14, 6, 0.8115942028985508, 0.7419491525423728, 0.3, 0.8983050847457628, 0.3333333333333333, 0.8833333333333333, 0.3157894736842105, 0.20728266134656623]"
5,lr_seed_1_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[102, 17, 13, 8, 0.7857142857142857, 0.6670668267306923, 0.38095238095238093, 0.8571428571428571, 0.32, 0.8869565217391304, 0.34782608695652173, 0.22198054491067587]"
6,lr_seed_1_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[112, 7, 10, 11, 0.8785714285714286, 0.7791116446578631, 0.5238095238095238, 0.9411764705882353, 0.6111111111111112, 0.9180327868852459, 0.5641025641025642, 0.49602873060876473]"
7,lr_seed_1_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[105, 13, 8, 12, 0.8478260869565217, 0.7733050847457626, 0.6, 0.8898305084745762, 0.48, 0.9292035398230089, 0.5333333333333332, 0.4477056823194239]"
8,lr_seed_1_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[102, 16, 8, 12, 0.8260869565217391, 0.8483050847457627, 0.6, 0.864406779661017, 0.42857142857142855, 0.9272727272727272, 0.5, 0.4065174516263447]"
9,lr_seed_1_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[106, 12, 13, 7, 0.8188405797101449, 0.7292372881355931, 0.35, 0.8983050847457628, 0.3684210526315789, 0.8907563025210085, 0.358974358974359, 0.2536829815642859]"
10,lr_seed_2_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[107, 12, 13, 8, 0.8214285714285714, 0.6298519407763105, 0.38095238095238093, 0.8991596638655462, 0.4, 0.8916666666666667, 0.3902439024390244, 0.2858309752375147]"
11,lr_seed_2_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[107, 12, 9, 12, 0.85, 0.7531012404961984, 0.5714285714285714, 0.8991596638655462, 0.5, 0.9224137931034483, 0.5333333333333333, 0.4458508287089374]"
12,lr_seed_2_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[108, 10, 14, 6, 0.8260869565217391, 0.6614406779661016, 0.3, 0.9152542372881356, 0.375, 0.8852459016393442, 0.33333333333333326, 0.23668340259667597]"
13,lr_seed_2_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[100, 18, 9, 11, 0.8043478260869565, 0.8576271186440678, 0.55, 0.847457627118644, 0.3793103448275862, 0.9174311926605505, 0.4489795918367347, 0.34342712088239763]"
14,lr_seed_2_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[105, 13, 12, 8, 0.8188405797101449, 0.738135593220339, 0.4, 0.8898305084745762, 0.38095238095238093, 0.8974358974358975, 0.3902439024390244, 0.2840517845017641]"
15,lr_seed_3_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[111, 8, 9, 12, 0.8785714285714286, 0.8031212484993998, 0.5714285714285714, 0.9327731092436975, 0.6, 0.925, 0.5853658536585366, 0.5144957554275265]"
16,lr_seed_3_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[108, 11, 11, 10, 0.8428571428571429, 0.7843137254901961, 0.47619047619047616, 0.907563025210084, 0.47619047619047616, 0.907563025210084, 0.47619047619047616, 0.38375350140056025]"
17,lr_seed_3_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[100, 18, 14, 6, 0.7681159420289855, 0.6699152542372881, 0.3, 0.847457627118644, 0.25, 0.8771929824561403, 0.2727272727272727, 0.13695099626919763]"
18,lr_seed_3_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[104, 14, 11, 9, 0.8188405797101449, 0.7690677966101696, 0.45, 0.8813559322033898, 0.391304347826087, 0.9043478260869565, 0.4186046511627907, 0.31299537008542994]"
19,lr_seed_3_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[107, 11, 12, 8, 0.8333333333333334, 0.6991525423728814, 0.4, 0.9067796610169492, 0.42105263157894735, 0.8991596638655462, 0.41025641025641024, 0.31342402500433963]"
20,lr_seed_4_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[110, 9, 9, 12, 0.8714285714285714, 0.8547418967587036, 0.5714285714285714, 0.9243697478991597, 0.5714285714285714, 0.9243697478991597, 0.5714285714285714, 0.4957983193277311]"
21,lr_seed_4_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[106, 13, 12, 9, 0.8214285714285714, 0.617046818727491, 0.42857142857142855, 0.8907563025210085, 0.4090909090909091, 0.8983050847457628, 0.4186046511627907, 0.31330506740039993]"
22,lr_seed_4_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[106, 12, 9, 11, 0.8478260869565217, 0.7889830508474577, 0.55, 0.8983050847457628, 0.4782608695652174, 0.9217391304347826, 0.5116279069767442, 0.4234643242332288]"
23,lr_seed_4_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[104, 14, 13, 7, 0.8043478260869565, 0.6766949152542373, 0.35, 0.8813559322033898, 0.3333333333333333, 0.8888888888888888, 0.3414634146341463, 0.2267430911373731]"
24,lr_seed_4_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[107, 11, 13, 7, 0.8260869565217391, 0.7076271186440679, 0.35, 0.9067796610169492, 0.3888888888888889, 0.8916666666666667, 0.36842105263157887, 0.26840447174363063]"
25,lr_seed_5_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[112, 7, 18, 3, 0.8214285714285714, 0.5550220088035214, 0.14285714285714285, 0.9411764705882353, 0.3, 0.8615384615384616, 0.19354838709677416, 0.1165103456070926]"
26,lr_seed_5_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[103, 16, 8, 13, 0.8285714285714286, 0.8155262104841938, 0.6190476190476191, 0.865546218487395, 0.4482758620689655, 0.9279279279279279, 0.52, 0.4269731119049666]"
27,lr_seed_5_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[107, 11, 9, 11, 0.855072463768116, 0.736864406779661, 0.55, 0.9067796610169492, 0.5, 0.9224137931034483, 0.5238095238095238, 0.43926077587542095]"
