,0,1
0,knn_seed_0_skf_0_paras_0_K_3,"[36, 4, 8, 7, 0.7818181818181819, 0.8400000000000001, 0.4666666666666667, 0.9, 0.6363636363636364, 0.8181818181818182, 0.5384615384615385, 0.408248290463863]"
1,knn_seed_0_skf_1_paras_0_K_3,"[38, 2, 4, 10, 0.8888888888888888, 0.9321428571428572, 0.7142857142857143, 0.95, 0.8333333333333334, 0.9047619047619048, 0.7692307692307692, 0.7002186247515697]"
2,knn_seed_0_skf_2_paras_0_K_3,"[36, 3, 7, 7, 0.8113207547169812, 0.7655677655677656, 0.5, 0.9230769230769231, 0.7, 0.8372093023255814, 0.5833333333333334, 0.476739822834434]"
3,knn_seed_0_skf_3_paras_0_K_3,"[38, 1, 7, 7, 0.8490566037735849, 0.8287545787545789, 0.5, 0.9743589743589743, 0.875, 0.8444444444444444, 0.6363636363636364, 0.5841874089493275]"
4,knn_seed_0_skf_4_paras_0_K_3,"[34, 5, 5, 9, 0.8113207547169812, 0.8489010989010989, 0.6428571428571429, 0.8717948717948718, 0.6428571428571429, 0.8717948717948718, 0.6428571428571429, 0.5146520146520146]"
5,knn_seed_1_skf_0_paras_0_K_3,"[38, 2, 6, 9, 0.8545454545454545, 0.895, 0.6, 0.95, 0.8181818181818182, 0.8636363636363636, 0.6923076923076923, 0.6123724356957945]"
6,knn_seed_1_skf_1_paras_0_K_3,"[36, 4, 8, 6, 0.7777777777777778, 0.8089285714285714, 0.42857142857142855, 0.9, 0.6, 0.8181818181818182, 0.5, 0.37067856345167494]"
7,knn_seed_1_skf_2_paras_0_K_3,"[30, 9, 5, 9, 0.7358490566037735, 0.7683150183150184, 0.6428571428571429, 0.7692307692307693, 0.5, 0.8571428571428571, 0.5625000000000001, 0.38363296823541043]"
8,knn_seed_1_skf_3_paras_0_K_3,"[36, 3, 5, 9, 0.8490566037735849, 0.8534798534798536, 0.6428571428571429, 0.9230769230769231, 0.75, 0.8780487804878049, 0.6923076923076924, 0.5961830255436622]"
9,knn_seed_1_skf_4_paras_0_K_3,"[35, 4, 10, 4, 0.7358490566037735, 0.7545787545787547, 0.2857142857142857, 0.8974358974358975, 0.5, 0.7777777777777778, 0.36363636363636365, 0.2255549841503195]"
10,knn_seed_2_skf_0_paras_0_K_3,"[34, 6, 9, 6, 0.7272727272727273, 0.7341666666666666, 0.4, 0.85, 0.5, 0.7906976744186046, 0.4444444444444445, 0.269581933008596]"
11,knn_seed_2_skf_1_paras_0_K_3,"[33, 7, 8, 6, 0.7222222222222222, 0.73125, 0.42857142857142855, 0.825, 0.46153846153846156, 0.8048780487804879, 0.4444444444444445, 0.25991463043967095]"
12,knn_seed_2_skf_2_paras_0_K_3,"[35, 4, 9, 5, 0.7547169811320755, 0.6721611721611721, 0.35714285714285715, 0.8974358974358975, 0.5555555555555556, 0.7954545454545454, 0.43478260869565216, 0.29893095249524493]"
13,knn_seed_2_skf_3_paras_0_K_3,"[35, 4, 6, 8, 0.8113207547169812, 0.7637362637362638, 0.5714285714285714, 0.8974358974358975, 0.6666666666666666, 0.8536585365853658, 0.6153846153846153, 0.4939250955960438]"
14,knn_seed_2_skf_4_paras_0_K_3,"[36, 3, 9, 5, 0.7735849056603774, 0.7747252747252746, 0.35714285714285715, 0.9230769230769231, 0.625, 0.8, 0.45454545454545453, 0.34509912574998886]"
15,knn_seed_3_skf_0_paras_0_K_3,"[35, 5, 8, 7, 0.7636363636363637, 0.7625, 0.4666666666666667, 0.875, 0.5833333333333334, 0.813953488372093, 0.5185185185185186, 0.36842864177841456]"
16,knn_seed_3_skf_1_paras_0_K_3,"[37, 3, 9, 5, 0.7777777777777778, 0.7321428571428571, 0.35714285714285715, 0.925, 0.625, 0.8043478260869565, 0.45454545454545453, 0.34804801731980667]"
