,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
0,xgboost_seed_0_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_0,41,9,7,11,0.765,0.838,0.611,0.82,0.55,0.854,0.579,0.417
1,xgboost_seed_0_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_1,41,9,5,13,0.794,0.873,0.722,0.82,0.591,0.891,0.65,0.511
2,xgboost_seed_0_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_2,39,11,5,13,0.765,0.82,0.722,0.78,0.542,0.886,0.619,0.464
3,xgboost_seed_0_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_3,39,11,5,13,0.765,0.81,0.722,0.78,0.542,0.886,0.619,0.464
4,xgboost_seed_0_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_4,36,14,7,11,0.691,0.731,0.611,0.72,0.44,0.837,0.512,0.303
5,xgboost_seed_1_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_0,42,8,6,12,0.794,0.831,0.667,0.84,0.6,0.875,0.632,0.491
6,xgboost_seed_1_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_1,41,9,6,12,0.779,0.823,0.667,0.82,0.571,0.872,0.615,0.465
7,xgboost_seed_1_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_2,38,12,7,11,0.721,0.802,0.611,0.76,0.478,0.844,0.537,0.346
8,xgboost_seed_1_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_3,39,11,4,14,0.779,0.85,0.778,0.78,0.56,0.907,0.651,0.51
9,xgboost_seed_1_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_4,42,8,7,11,0.779,0.777,0.611,0.84,0.579,0.857,0.595,0.444
10,xgboost_seed_2_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,2_skf_0,40,10,5,13,0.779,0.837,0.722,0.8,0.565,0.889,0.634,0.487
11,xgboost_seed_2_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,2_skf_1,39,11,5,13,0.765,0.834,0.722,0.78,0.542,0.886,0.619,0.464
12,xgboost_seed_2_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,2_skf_2,40,10,10,8,0.706,0.783,0.444,0.8,0.444,0.8,0.444,0.244
