,0,1
0,svm_seed_0_skf_0_paras_19_kernel_rbf_C_1_gamma_1,"[395, 7, 24, 22, 0.9308035714285714, 0.8592905040017305, 0.4782608695652174, 0.9825870646766169, 0.7586206896551724, 0.9427207637231504, 0.5866666666666667, 0.5685171589209651]"
1,svm_seed_0_skf_1_paras_19_kernel_rbf_C_1_gamma_1,"[394, 8, 23, 23, 0.9308035714285714, 0.9192083062946139, 0.5, 0.9800995024875622, 0.7419354838709677, 0.9448441247002398, 0.5974025974025974, 0.5742147232470093]"
2,svm_seed_0_skf_2_paras_19_kernel_rbf_C_1_gamma_1,"[392, 10, 23, 23, 0.9263392857142857, 0.8973610209820462, 0.5, 0.9751243781094527, 0.696969696969697, 0.944578313253012, 0.5822784810126582, 0.5521006243289546]"
3,svm_seed_0_skf_3_paras_19_kernel_rbf_C_1_gamma_1,"[396, 6, 30, 15, 0.9194630872483222, 0.8710337202874516, 0.3333333333333333, 0.9850746268656716, 0.7142857142857143, 0.9295774647887324, 0.4545454545454545, 0.452781582549844]"
4,svm_seed_0_skf_4_paras_19_kernel_rbf_C_1_gamma_1,"[392, 10, 26, 19, 0.9194630872483222, 0.9407407407407408, 0.4222222222222222, 0.9751243781094527, 0.6551724137931034, 0.937799043062201, 0.5135135135135135, 0.48540209360403014]"
5,svm_seed_1_skf_0_paras_19_kernel_rbf_C_1_gamma_1,"[396, 6, 27, 19, 0.9263392857142857, 0.9337010599178023, 0.41304347826086957, 0.9850746268656716, 0.76, 0.9361702127659575, 0.5352112676056338, 0.5264579431938737]"
6,svm_seed_1_skf_1_paras_19_kernel_rbf_C_1_gamma_1,"[395, 7, 27, 19, 0.9241071428571429, 0.8878433917369672, 0.41304347826086957, 0.9825870646766169, 0.7307692307692307, 0.9360189573459715, 0.5277777777777778, 0.5136163674264289]"
7,svm_seed_1_skf_2_paras_19_kernel_rbf_C_1_gamma_1,"[397, 5, 26, 20, 0.9308035714285714, 0.9126649361886221, 0.43478260869565216, 0.9875621890547264, 0.8, 0.9385342789598109, 0.5633802816901409, 0.558494503714229]"
8,svm_seed_1_skf_3_paras_19_kernel_rbf_C_1_gamma_1,"[387, 15, 17, 28, 0.9284116331096197, 0.9443338861249309, 0.6222222222222222, 0.9626865671641791, 0.6511627906976745, 0.9579207920792079, 0.6363636363636364, 0.596873806626793]"
9,svm_seed_1_skf_4_paras_19_kernel_rbf_C_1_gamma_1,"[397, 5, 29, 16, 0.9239373601789709, 0.9105030403537866, 0.35555555555555557, 0.9875621890547264, 0.7619047619047619, 0.931924882629108, 0.48484848484848486, 0.4879193199456392]"
10,svm_seed_2_skf_0_paras_19_kernel_rbf_C_1_gamma_1,"[392, 10, 23, 23, 0.9263392857142857, 0.9282933160285528, 0.5, 0.9751243781094527, 0.696969696969697, 0.944578313253012, 0.5822784810126582, 0.5521006243289546]"
