,0,1
0,svm_seed_0_skf_0_paras_19_kernel_rbf_C_1_gamma_1,"[417, 5, 20, 23, 0.946236559139785, 0.9334288548440428, 0.5348837209302325, 0.9881516587677726, 0.8214285714285714, 0.954233409610984, 0.647887323943662, 0.636944784710834]"
1,svm_seed_0_skf_1_paras_19_kernel_rbf_C_1_gamma_1,"[412, 9, 17, 26, 0.9439655172413793, 0.9306744738441143, 0.6046511627906976, 0.9786223277909739, 0.7428571428571429, 0.9603729603729604, 0.6666666666666666, 0.6404494335957615]"
2,svm_seed_0_skf_2_paras_19_kernel_rbf_C_1_gamma_1,"[413, 8, 18, 25, 0.9439655172413793, 0.9148759874054024, 0.5813953488372093, 0.9809976247030879, 0.7575757575757576, 0.9582366589327146, 0.6578947368421053, 0.634482366514047]"
3,svm_seed_0_skf_3_paras_19_kernel_rbf_C_1_gamma_1,"[413, 8, 20, 23, 0.9396551724137931, 0.9492073137049108, 0.5348837209302325, 0.9809976247030879, 0.7419354838709677, 0.953810623556582, 0.6216216216216216, 0.5991013588023892]"
4,svm_seed_0_skf_4_paras_19_kernel_rbf_C_1_gamma_1,"[415, 6, 30, 13, 0.9224137931034483, 0.8840523670109928, 0.3023255813953488, 0.9857482185273159, 0.6842105263157895, 0.9325842696629213, 0.41935483870967744, 0.42152392654523413]"
5,svm_seed_1_skf_0_paras_19_kernel_rbf_C_1_gamma_1,"[413, 9, 19, 24, 0.9397849462365592, 0.9301774495756641, 0.5581395348837209, 0.9786729857819905, 0.7272727272727273, 0.9560185185185185, 0.6315789473684211, 0.6056395759872475]"
6,svm_seed_1_skf_1_paras_19_kernel_rbf_C_1_gamma_1,"[416, 5, 21, 22, 0.9439655172413793, 0.9507816384024748, 0.5116279069767442, 0.9881235154394299, 0.8148148148148148, 0.9519450800915332, 0.6285714285714286, 0.6190228979053388]"
7,svm_seed_1_skf_2_paras_19_kernel_rbf_C_1_gamma_1,"[411, 10, 25, 18, 0.9245689655172413, 0.8848809589570789, 0.4186046511627907, 0.9762470308788599, 0.6428571428571429, 0.9426605504587156, 0.5070422535211269, 0.48082496406791736]"
8,svm_seed_1_skf_3_paras_19_kernel_rbf_C_1_gamma_1,"[415, 6, 19, 24, 0.9461206896551724, 0.9528254985361543, 0.5581395348837209, 0.9857482185273159, 0.8, 0.956221198156682, 0.6575342465753425, 0.6413263198616133]"
9,svm_seed_1_skf_4_paras_19_kernel_rbf_C_1_gamma_1,"[411, 10, 18, 25, 0.9396551724137931, 0.9443186212230017, 0.5813953488372093, 0.9762470308788599, 0.7142857142857143, 0.958041958041958, 0.6410256410256411, 0.6123058085187244]"
