,0,1
0,xgboost_seed_0_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[415, 7, 12, 31, 0.9591397849462365, 0.9458282817149786, 0.7209302325581395, 0.9834123222748815, 0.8157894736842105, 0.9718969555035128, 0.765432098765432, 0.7448496975507076]"
1,xgboost_seed_0_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[407, 14, 12, 31, 0.9439655172413793, 0.9211732861956582, 0.7209302325581395, 0.9667458432304038, 0.6888888888888889, 0.9713603818615751, 0.7045454545454545, 0.6738231426360529]"
2,xgboost_seed_0_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[415, 6, 10, 33, 0.9655172413793104, 0.9348174335745456, 0.7674418604651163, 0.9857482185273159, 0.8461538461538461, 0.9764705882352941, 0.8048780487804877, 0.7871420219494456]"
3,xgboost_seed_0_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[408, 13, 12, 31, 0.9461206896551724, 0.9484615809534331, 0.7209302325581395, 0.9691211401425178, 0.7045454545454546, 0.9714285714285714, 0.7126436781609196, 0.682976430437659]"
4,xgboost_seed_0_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 7, 22, 21, 0.9375, 0.9222228359940342, 0.4883720930232558, 0.9833729216152018, 0.75, 0.9495412844036697, 0.5915492957746479, 0.5744607153245683]"
5,xgboost_seed_1_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[411, 11, 9, 34, 0.956989247311828, 0.956409125978177, 0.7906976744186046, 0.9739336492890995, 0.7555555555555555, 0.9785714285714285, 0.7727272727272727, 0.7492239235652853]"
6,xgboost_seed_1_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 7, 19, 24, 0.9439655172413793, 0.9436557476661327, 0.5581395348837209, 0.9833729216152018, 0.7741935483870968, 0.9561200923787528, 0.6486486486486487, 0.6288671828182698]"
7,xgboost_seed_1_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[410, 11, 25, 18, 0.9224137931034483, 0.8968679224437938, 0.4186046511627907, 0.9738717339667459, 0.6206896551724138, 0.9425287356321839, 0.5, 0.47015946024882144]"
8,xgboost_seed_1_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[416, 5, 13, 30, 0.9612068965517241, 0.9527702590730817, 0.6976744186046512, 0.9881235154394299, 0.8571428571428571, 0.9696969696969697, 0.7692307692307693, 0.7530239339039093]"
9,xgboost_seed_1_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[410, 11, 11, 32, 0.9525862068965517, 0.9455891288736673, 0.7441860465116279, 0.9738717339667459, 0.7441860465116279, 0.9738717339667459, 0.7441860465116278, 0.7180577804783738]"
10,xgboost_seed_2_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 8, 13, 30, 0.9548387096774194, 0.9186046511627908, 0.6976744186046512, 0.981042654028436, 0.7894736842105263, 0.9695550351288056, 0.7407407407407408, 0.717750479229678]"
11,xgboost_seed_2_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[413, 8, 8, 35, 0.9655172413793104, 0.9646467436336519, 0.813953488372093, 0.9809976247030879, 0.813953488372093, 0.9809976247030879, 0.8139534883720931, 0.794951113075181]"
12,xgboost_seed_2_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[413, 8, 17, 26, 0.9461206896551724, 0.9401204220294979, 0.6046511627906976, 0.9809976247030879, 0.7647058823529411, 0.9604651162790697, 0.6753246753246753, 0.6516866701678766]"
13,xgboost_seed_2_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 7, 13, 30, 0.9568965517241379, 0.9427166767939015, 0.6976744186046512, 0.9833729216152018, 0.8108108108108109, 0.9695550351288056, 0.75, 0.7290172040326562]"
14,xgboost_seed_2_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[405, 16, 13, 30, 0.9375, 0.9233276252554826, 0.6976744186046512, 0.9619952494061758, 0.6521739130434783, 0.9688995215311005, 0.6741573033707865, 0.6400807030337318]"
15,xgboost_seed_3_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[413, 9, 15, 28, 0.9483870967741935, 0.9137550975421581, 0.6511627906976745, 0.9786729857819905, 0.7567567567567568, 0.9649532710280374, 0.7000000000000001, 0.6742097564875462]"
16,xgboost_seed_3_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[415, 6, 13, 30, 0.959051724137931, 0.9642048279290725, 0.6976744186046512, 0.9857482185273159, 0.8333333333333334, 0.969626168224299, 0.759493670886076, 0.7407838416600939]"
17,xgboost_seed_3_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 7, 12, 31, 0.959051724137931, 0.9299563608241728, 0.7209302325581395, 0.9833729216152018, 0.8157894736842105, 0.971830985915493, 0.765432098765432, 0.744797673188852]"
18,xgboost_seed_3_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[408, 13, 13, 30, 0.9439655172413793, 0.9489034966580124, 0.6976744186046512, 0.9691211401425178, 0.6976744186046512, 0.9691211401425178, 0.6976744186046512, 0.666795558747169]"
19,xgboost_seed_3_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 7, 17, 26, 0.9482758620689655, 0.925868640556814, 0.6046511627906976, 0.9833729216152018, 0.7878787878787878, 0.9605568445475638, 0.6842105263157895, 0.6633989580141469]"
20,xgboost_seed_4_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[410, 12, 16, 27, 0.9397849462365592, 0.9462140416620742, 0.627906976744186, 0.9715639810426541, 0.6923076923076923, 0.9624413145539906, 0.6585365853658537, 0.6265006099385342]"
21,xgboost_seed_4_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 7, 13, 30, 0.9568965517241379, 0.923659062033917, 0.6976744186046512, 0.9833729216152018, 0.8108108108108109, 0.9695550351288056, 0.75, 0.7290172040326562]"
22,xgboost_seed_4_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 7, 16, 27, 0.9504310344827587, 0.9506159200132573, 0.627906976744186, 0.9833729216152018, 0.7941176470588235, 0.9627906976744186, 0.7012987012987012, 0.6802079505826941]"
23,xgboost_seed_4_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[409, 12, 12, 31, 0.9482758620689655, 0.9099596751919572, 0.7209302325581395, 0.9714964370546318, 0.7209302325581395, 0.9714964370546318, 0.7209302325581395, 0.6924266696127713]"
24,xgboost_seed_4_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[415, 6, 12, 31, 0.9612068965517241, 0.9550903165221234, 0.7209302325581395, 0.9857482185273159, 0.8378378378378378, 0.9718969555035128, 0.7749999999999999, 0.7564536532719418]"
25,xgboost_seed_5_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[406, 16, 12, 31, 0.9397849462365592, 0.9394907968698336, 0.7209302325581395, 0.9620853080568721, 0.6595744680851063, 0.9712918660287081, 0.6888888888888888, 0.6564232706497825]"
26,xgboost_seed_5_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[412, 9, 13, 30, 0.9525862068965517, 0.9358669833729217, 0.6976744186046512, 0.9786223277909739, 0.7692307692307693, 0.9694117647058823, 0.7317073170731708, 0.7067825283994912]"
27,xgboost_seed_5_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[415, 6, 10, 33, 0.9655172413793104, 0.9489034966580125, 0.7674418604651163, 0.9857482185273159, 0.8461538461538461, 0.9764705882352941, 0.8048780487804877, 0.7871420219494456]"
28,xgboost_seed_5_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[416, 5, 16, 27, 0.9547413793103449, 0.9561398663204994, 0.627906976744186, 0.9881235154394299, 0.84375, 0.9629629629629629, 0.72, 0.7049537457344115]"
29,xgboost_seed_5_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[413, 8, 19, 24, 0.9418103448275862, 0.9229409490139757, 0.5581395348837209, 0.9809976247030879, 0.75, 0.9560185185185185, 0.6399999999999999, 0.6169609539425982]"
30,xgboost_seed_6_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 8, 19, 24, 0.9419354838709677, 0.9492450126749696, 0.5581395348837209, 0.981042654028436, 0.75, 0.9561200923787528, 0.6399999999999999, 0.6170310989274612]"
31,xgboost_seed_6_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[415, 6, 17, 26, 0.9504310344827587, 0.9477434679334916, 0.6046511627906976, 0.9857482185273159, 0.8125, 0.9606481481481481, 0.6933333333333334, 0.6756228151371404]"
32,xgboost_seed_6_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[411, 10, 15, 28, 0.9461206896551724, 0.9068110257968293, 0.6511627906976745, 0.9762470308788599, 0.7368421052631579, 0.9647887323943662, 0.6913580246913581, 0.6634832919277632]"
33,xgboost_seed_6_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[414, 7, 14, 29, 0.9547413793103449, 0.9607247417555101, 0.6744186046511628, 0.9833729216152018, 0.8055555555555556, 0.9672897196261683, 0.7341772151898734, 0.7130014538060457]"
34,xgboost_seed_6_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[411, 10, 15, 28, 0.9461206896551724, 0.9511130751809093, 0.6511627906976745, 0.9762470308788599, 0.7368421052631579, 0.9647887323943662, 0.6913580246913581, 0.6634832919277632]"
35,xgboost_seed_7_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[413, 9, 16, 27, 0.946236559139785, 0.9461589330982035, 0.627906976744186, 0.9786729857819905, 0.75, 0.9627039627039627, 0.6835443037974683, 0.6575043292551215]"
