,0,1
0,rf_seed_0_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[217, 29, 8, 25, 0.8673835125448028, 0.9191919191919192, 0.7575757575757576, 0.8821138211382114, 0.46296296296296297, 0.9644444444444444, 0.5747126436781609, 0.522884369993667]"
1,rf_seed_0_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[219, 26, 7, 26, 0.8812949640287769, 0.9073593073593073, 0.7878787878787878, 0.8938775510204081, 0.5, 0.9690265486725663, 0.6117647058823529, 0.5654748647548664]"
2,rf_seed_0_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[226, 19, 10, 23, 0.89568345323741, 0.9059987631416203, 0.696969696969697, 0.9224489795918367, 0.5476190476190477, 0.9576271186440678, 0.6133333333333334, 0.55942730684557]"
3,rf_seed_0_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[227, 18, 9, 24, 0.9028776978417267, 0.8923933209647495, 0.7272727272727273, 0.926530612244898, 0.5714285714285714, 0.961864406779661, 0.64, 0.5904817779524127]"
4,rf_seed_0_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[216, 29, 8, 24, 0.8664259927797834, 0.8792091836734693, 0.75, 0.8816326530612245, 0.4528301886792453, 0.9642857142857143, 0.5647058823529413, 0.5132874676278252]"
5,rf_seed_1_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[225, 21, 9, 24, 0.8924731182795699, 0.906380881990638, 0.7272727272727273, 0.9146341463414634, 0.5333333333333333, 0.9615384615384616, 0.6153846153846153, 0.563614767980752]"
6,rf_seed_1_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[224, 21, 10, 23, 0.8884892086330936, 0.9376623376623375, 0.696969696969697, 0.9142857142857143, 0.5227272727272727, 0.9572649572649573, 0.5974025974025974, 0.5416621160311126]"
7,rf_seed_1_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[215, 30, 7, 26, 0.8669064748201439, 0.888930117501546, 0.7878787878787878, 0.8775510204081632, 0.4642857142857143, 0.9684684684684685, 0.5842696629213484, 0.5366260642807914]"
8,rf_seed_1_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[214, 31, 10, 23, 0.8525179856115108, 0.8779220779220779, 0.696969696969697, 0.8734693877551021, 0.42592592592592593, 0.9553571428571429, 0.5287356321839082, 0.466367628355224]"
9,rf_seed_1_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[221, 24, 7, 25, 0.8880866425992779, 0.8813775510204082, 0.78125, 0.9020408163265307, 0.5102040816326531, 0.9692982456140351, 0.617283950617284, 0.5723980578363809]"
10,rf_seed_2_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[221, 25, 6, 27, 0.8888888888888888, 0.8950480413895048, 0.8181818181818182, 0.8983739837398373, 0.5192307692307693, 0.973568281938326, 0.6352941176470589, 0.5942373425633077]"
11,rf_seed_2_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[226, 19, 5, 28, 0.9136690647482014, 0.9209647495361781, 0.8484848484848485, 0.9224489795918367, 0.5957446808510638, 0.9783549783549783, 0.7, 0.6652765199292957]"
12,rf_seed_2_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[212, 33, 11, 22, 0.841726618705036, 0.8580086580086581, 0.6666666666666666, 0.8653061224489796, 0.4, 0.9506726457399103, 0.5, 0.4319123816479716]"
13,rf_seed_2_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[219, 26, 9, 24, 0.8741007194244604, 0.905256648113791, 0.7272727272727273, 0.8938775510204081, 0.48, 0.9605263157894737, 0.5783132530120482, 0.5230994586577979]"
14,rf_seed_2_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[224, 21, 14, 18, 0.8736462093862816, 0.9183673469387755, 0.5625, 0.9142857142857143, 0.46153846153846156, 0.9411764705882353, 0.5070422535211268, 0.4381880036782729]"
15,rf_seed_3_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[218, 28, 6, 27, 0.8781362007168458, 0.9073663463907367, 0.8181818181818182, 0.8861788617886179, 0.4909090909090909, 0.9732142857142857, 0.6136363636363636, 0.5717606642194061]"
16,rf_seed_3_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[220, 25, 9, 24, 0.8776978417266187, 0.9128014842300557, 0.7272727272727273, 0.8979591836734694, 0.4897959183673469, 0.9606986899563319, 0.5853658536585367, 0.5307198930068215]"
17,rf_seed_3_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[228, 17, 12, 21, 0.89568345323741, 0.8434137291280148, 0.6363636363636364, 0.9306122448979591, 0.5526315789473685, 0.95, 0.5915492957746479, 0.533835164094303]"
18,rf_seed_3_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[220, 25, 9, 24, 0.8776978417266187, 0.8905380333951762, 0.7272727272727273, 0.8979591836734694, 0.4897959183673469, 0.9606986899563319, 0.5853658536585367, 0.5307198930068215]"
19,rf_seed_3_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[223, 22, 5, 27, 0.9025270758122743, 0.954719387755102, 0.84375, 0.9102040816326531, 0.5510204081632653, 0.9780701754385965, 0.6666666666666666, 0.6315932275286256]"
20,rf_seed_4_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[214, 32, 9, 24, 0.8530465949820788, 0.9021926582902192, 0.7272727272727273, 0.8699186991869918, 0.42857142857142855, 0.9596412556053812, 0.5393258426966292, 0.48149484590523445]"
21,rf_seed_4_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[215, 30, 7, 26, 0.8669064748201439, 0.9085961657390229, 0.7878787878787878, 0.8775510204081632, 0.4642857142857143, 0.9684684684684685, 0.5842696629213484, 0.5366260642807914]"
22,rf_seed_4_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[219, 26, 10, 23, 0.8705035971223022, 0.9083487940630798, 0.696969696969697, 0.8938775510204081, 0.46938775510204084, 0.9563318777292577, 0.5609756097560976, 0.5015329236189093]"
23,rf_seed_4_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[225, 20, 8, 25, 0.8992805755395683, 0.9212121212121213, 0.7575757575757576, 0.9183673469387755, 0.5555555555555556, 0.9656652360515021, 0.6410256410256411, 0.5935617912369335]"
24,rf_seed_4_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[225, 20, 9, 23, 0.8953068592057761, 0.875, 0.71875, 0.9183673469387755, 0.5348837209302325, 0.9615384615384616, 0.6133333333333333, 0.5623870409744619]"
