,id,y_true,prob_xgboost_seed_7_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,class_xgboost_seed_7_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6
0,102,0,0.007949493,0
1,1174,0,0.0044025807,0
2,1368,0,0.0057943403,0
3,1416,0,0.0023303905,0
4,943,0,0.01028103,0
5,1315,0,0.00811968,0
6,699,0,0.0040202453,0
7,139,0,0.3303214,0
8,966,0,0.0012129997,0
9,90,0,0.0025546385,0
10,181,1,0.9927118,1
11,715,0,0.76484346,1
12,349,0,0.0041178316,0
13,250,0,0.00075056887,0
14,506,0,0.008617242,0
15,1280,0,0.01792797,0
16,454,0,0.055554055,0
17,1206,1,0.239416,0
18,1341,0,0.01676696,0
19,1413,0,0.024271574,0
20,176,0,0.0040770015,0
21,1460,0,0.0026496134,0
22,1258,0,0.031855892,0
23,432,0,0.0028281545,0
24,1407,0,0.004799905,0
25,552,0,0.004099108,0
26,547,0,0.0014380271,0
27,1680,0,0.0014595691,0
28,1298,0,0.010641497,0
29,1656,0,0.0047510653,0
30,412,0,0.002083286,0
31,241,0,0.0029956088,0
32,110,0,0.0024373957,0
33,357,1,0.9732251,1
34,1336,0,0.01177984,0
35,88,0,0.05429509,0
36,1537,0,0.0017217532,0
37,1356,0,0.019809166,0
38,954,0,0.004003707,0
39,1506,0,0.0024525728,0
40,563,0,0.0028485006,0
41,1112,0,0.039592613,0
42,658,0,0.0029233068,0
43,832,0,0.029917683,0
44,1472,0,0.11869673,0
45,592,0,0.0015932006,0
46,1384,1,0.9293452,1
47,443,0,0.0809545,0
48,532,0,0.6654602,1
49,1592,0,0.004791894,0
50,1732,0,0.002201796,0
51,1274,0,0.0013265737,0
52,1597,0,0.00383938,0
53,459,0,0.0012242397,0
54,237,0,0.0013920988,0
55,980,0,0.005224064,0
56,767,0,0.0015232611,0
57,1168,0,0.0043945536,0
58,66,0,0.0101864515,0
59,340,0,0.02642475,0
60,1677,0,0.032126214,0
61,753,0,0.011018999,0
62,1714,0,0.12272225,0
63,1321,0,0.0013579128,0
64,220,0,0.0020009426,0
65,1403,1,0.98849034,1
66,890,0,0.033968665,0
67,749,0,0.0075153843,0
68,909,0,0.0028070146,0
69,1415,0,0.0018993764,0
70,369,0,0.09353365,0
71,525,0,0.008545865,0
72,534,0,0.9531023,1
73,955,0,0.010410038,0
74,385,0,0.0027027272,0
75,1494,1,0.51611245,1
76,886,0,0.0013761177,0
77,1345,0,0.44905862,0
78,1214,0,0.001322928,0
79,1117,0,0.0011277265,0
80,245,0,0.010359969,0
