,id,y_true,prob_knn_seed_8_skf_1_paras_0_K_3,class_knn_seed_8_skf_1_paras_0_K_3
0,649,0,0.3333333333333333,0
1,590,0,0.0,0
2,330,0,0.0,0
3,887,0,0.6666666666666666,1
4,489,0,0.0,0
5,300,0,0.0,0
6,1343,0,0.0,0
7,143,0,0.0,0
8,1197,0,0.3333333333333333,0
9,364,0,0.0,0
10,1385,1,0.0,0
11,475,0,0.0,0
12,628,1,0.0,0
13,1285,0,0.0,0
14,304,0,0.0,0
15,1279,0,0.0,0
16,1251,0,0.0,0
17,63,0,0.3333333333333333,0
18,267,0,0.0,0
19,215,0,0.0,0
20,821,0,0.0,0
21,72,0,0.3333333333333333,0
22,374,0,0.0,0
23,1008,0,0.0,0
24,1046,0,0.0,0
25,441,0,0.0,0
26,961,0,0.0,0
27,726,0,0.0,0
28,613,0,0.0,0
29,243,0,0.0,0
30,161,0,0.3333333333333333,0
31,353,1,0.0,0
32,451,0,0.0,0
33,16,0,0.0,0
34,1222,0,0.0,0
35,458,0,0.0,0
36,239,0,1.0,1
37,574,0,0.0,0
38,516,0,0.6666666666666666,1
39,1011,0,0.0,0
40,1145,0,0.0,0
41,321,0,0.0,0
42,1196,0,0.0,0
43,438,0,0.0,0
44,171,0,0.0,0
45,899,0,0.0,0
46,1192,0,0.0,0
47,1104,0,0.0,0
48,602,0,0.0,0
49,450,0,0.3333333333333333,0
50,163,0,0.6666666666666666,1
51,62,1,0.0,0
52,1184,0,0.0,0
53,288,1,0.6666666666666666,1
54,798,0,0.0,0
55,1311,0,0.6666666666666666,1
56,341,0,0.0,0
57,216,0,0.0,0
58,812,0,0.0,0
59,198,0,0.0,0
60,684,0,0.0,0
61,1288,0,0.0,0
62,1282,0,0.0,0
63,1206,0,0.0,0
64,66,0,0.3333333333333333,0
65,1382,0,0.6666666666666666,1
66,301,0,0.0,0
67,9,1,1.0,1
68,1050,0,0.0,0
69,1344,0,0.0,0
70,1015,0,0.0,0
71,412,0,0.0,0
72,944,0,0.0,0
73,370,0,0.0,0
74,29,0,0.0,0
75,718,0,0.0,0
76,502,0,0.3333333333333333,0
77,1202,0,0.0,0
78,1158,1,0.0,0
79,1384,0,0.0,0
80,59,0,0.0,0
81,739,1,0.0,0
82,1270,0,0.0,0
83,1243,0,0.0,0
84,58,0,0.3333333333333333,0
85,298,1,0.3333333333333333,0
86,308,0,0.0,0
87,103,0,0.0,0
88,1233,1,0.0,0
89,645,0,0.3333333333333333,0
90,64,1,0.3333333333333333,0
91,575,0,0.0,0
92,926,0,0.0,0
93,811,0,0.0,0
94,1134,0,0.3333333333333333,0
95,968,0,0.0,0
96,1181,1,0.3333333333333333,0
97,900,0,0.0,0
98,422,0,0.0,0
99,110,0,0.0,0
100,133,0,0.0,0
101,220,0,0.0,0
102,1112,0,0.0,0
103,166,0,0.0,0
104,671,0,0.0,0
105,302,0,0.0,0
106,1357,0,0.0,0
107,295,0,0.0,0
108,1002,1,0.3333333333333333,0
109,655,0,0.0,0
110,1229,1,0.3333333333333333,0
111,706,0,0.0,0
112,254,0,0.0,0
113,528,0,0.0,0
114,461,0,0.0,0
115,913,0,0.0,0
116,1185,0,0.0,0
117,277,0,0.0,0
118,866,0,0.0,0
119,685,0,0.0,0
120,1001,1,0.6666666666666666,1
121,337,0,0.0,0
122,788,0,0.0,0
123,17,0,0.0,0
124,111,0,0.0,0
125,1368,0,0.0,0
126,1273,0,0.0,0
127,1178,0,0.0,0
128,317,1,0.3333333333333333,0
129,1146,0,0.0,0
130,15,1,0.3333333333333333,0
131,928,0,0.0,0
132,487,0,0.3333333333333333,0
133,257,0,0.0,0
134,651,0,0.0,0
135,1231,0,0.0,0
136,776,0,0.0,0
137,876,0,0.0,0
138,949,1,1.0,1
139,937,0,0.0,0
140,698,0,0.0,0
141,901,0,0.0,0
142,1364,0,0.0,0
143,156,1,0.3333333333333333,0
144,695,0,0.0,0
145,1080,0,0.0,0
146,233,0,0.0,0
147,562,0,0.0,0
148,1036,0,0.0,0
149,995,1,0.6666666666666666,1
150,1062,0,0.0,0
151,1074,0,0.0,0
152,179,1,0.3333333333333333,0
