,0,1
0,lr_seed_0_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[177, 20, 12, 14, 0.8565022421524664, 0.861772745021476, 0.5384615384615384, 0.8984771573604061, 0.4117647058823529, 0.9365079365079365, 0.4666666666666667, 0.39009459642050354]"
1,lr_seed_0_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[181, 16, 8, 18, 0.8923766816143498, 0.9381101132370168, 0.6923076923076923, 0.9187817258883249, 0.5294117647058824, 0.9576719576719577, 0.5999999999999999, 0.5455746589795246]"
2,lr_seed_0_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[183, 13, 9, 17, 0.9009009009009009, 0.8671507064364208, 0.6538461538461539, 0.9336734693877551, 0.5666666666666667, 0.953125, 0.6071428571428571, 0.5526190407144198]"
3,lr_seed_0_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[185, 11, 16, 10, 0.8783783783783784, 0.8432103610675039, 0.38461538461538464, 0.9438775510204082, 0.47619047619047616, 0.9203980099502488, 0.42553191489361697, 0.3609383826246825]"
4,lr_seed_0_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[188, 8, 16, 10, 0.8918918918918919, 0.8459576138147566, 0.38461538461538464, 0.9591836734693877, 0.5555555555555556, 0.9215686274509803, 0.4545454545454546, 0.4050121537770362]"
5,lr_seed_1_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[183, 14, 15, 11, 0.8699551569506726, 0.8333658727059742, 0.4230769230769231, 0.9289340101522843, 0.44, 0.9242424242424242, 0.4313725490196078, 0.35807445549668104]"
6,lr_seed_1_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[183, 14, 11, 15, 0.8878923766816144, 0.8443967200312379, 0.5769230769230769, 0.9289340101522843, 0.5172413793103449, 0.9432989690721649, 0.5454545454545454, 0.4826671721936851]"
7,lr_seed_1_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[181, 15, 8, 18, 0.8963963963963963, 0.8954081632653061, 0.6923076923076923, 0.923469387755102, 0.5454545454545454, 0.9576719576719577, 0.6101694915254238, 0.5566091707809371]"
8,lr_seed_1_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[183, 13, 14, 12, 0.8783783783783784, 0.853806907378336, 0.46153846153846156, 0.9336734693877551, 0.48, 0.9289340101522843, 0.47058823529411764, 0.40201442732032056]"
9,lr_seed_1_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[190, 6, 11, 15, 0.9234234234234234, 0.9089481946624803, 0.5769230769230769, 0.9693877551020408, 0.7142857142857143, 0.945273631840796, 0.6382978723404256, 0.6002702850819092]"
