,id,y_true,prob_xgboost_seed_12_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,class_xgboost_seed_12_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6
0,704,0,0.00611696,0
1,887,0,0.93763804,1
2,958,0,0.0007729543,0
3,76,0,0.9452498,1
4,300,0,0.003908076,0
5,97,1,0.986127,1
6,468,0,0.00078721234,0
7,1007,0,0.0027835816,0
8,143,0,0.12475126,0
9,364,0,0.0018654845,0
10,294,1,0.13321853,0
11,46,0,0.0020643882,0
12,140,0,0.028088538,0
13,170,0,0.0077329543,0
14,922,0,0.012497318,0
15,705,0,0.000876253,0
16,35,0,0.085624844,0
17,1121,1,0.8625574,1
18,1279,0,0.034831986,0
19,994,0,0.0018401694,0
20,556,0,0.056679253,0
21,572,0,0.00068326824,0
22,520,0,0.0009371971,0
23,942,0,0.008412715,0
24,821,0,0.04139451,0
25,207,0,0.13762444,0
26,1348,0,0.0018565818,0
27,454,0,0.002955707,0
28,144,0,0.01222251,0
29,507,0,0.01595597,0
30,1336,0,0.0014432445,0
31,1193,0,0.0022095742,0
32,289,0,0.30538487,0
33,1168,0,0.051032916,0
34,953,0,0.0018568673,0
35,243,0,0.008175249,0
36,1093,0,0.004930456,0
37,161,0,0.010372434,0
38,618,0,0.0023597484,0
39,1222,0,0.0019210514,0
40,387,0,0.014965449,0
41,1084,0,0.0007798419,0
42,83,0,0.0020168591,0
43,889,1,0.9957587,1
44,408,1,0.9820855,1
45,1011,0,0.010527015,0
46,445,0,0.012608252,0
47,1115,0,0.0059555643,0
48,1029,0,0.036010046,0
49,22,0,0.66874504,1
50,53,0,0.0030344175,0
51,692,0,0.037873186,0
52,222,0,0.0034489182,0
53,620,0,0.33718044,0
54,463,0,0.007728763,0
55,1162,0,0.021038456,0
56,941,0,0.004786548,0
57,969,0,0.02750227,0
58,163,0,0.5341047,1
59,1383,0,0.0017264385,0
60,238,0,0.08311628,0
61,771,0,0.0123083955,0
62,709,0,0.40069595,0
63,341,0,0.31050372,0
64,758,0,0.0038939517,0
65,870,1,0.9438496,1
66,66,0,0.065818354,0
67,1079,0,0.001130556,0
68,744,0,0.011926407,0
69,368,0,0.0008863203,0
70,991,0,0.020619206,0
71,993,0,0.020246739,0
72,29,0,0.0009050075,0
73,367,0,0.039161354,0
74,834,0,0.00502359,0
75,365,0,0.029088192,0
76,1345,0,0.0009282999,0
77,397,0,0.008679948,0
78,334,0,0.1337468,0
79,1239,0,0.0045799557,0
80,28,0,0.019779934,0
81,58,0,0.0096533485,0
82,526,0,0.48437926,0
83,1296,0,0.0039047603,0
84,1233,1,0.007489565,0
85,637,0,0.00080039934,0
86,234,0,0.006126331,0
87,1113,0,0.0075571407,0
88,1177,0,0.002565724,0
89,64,1,0.009648682,0
90,1047,0,0.053250905,0
91,575,0,0.048880294,0
92,854,1,0.98814034,1
93,1127,0,0.0009756074,0
94,921,1,0.9888493,1
95,926,0,0.00082814536,0
96,878,0,0.029410388,0
97,1066,1,0.48185313,0
98,75,0,0.0009957763,0
99,1320,1,0.011299404,0
100,1006,0,0.024631275,0
101,1331,0,0.0062520457,0
102,1340,0,0.027605526,0
103,192,0,0.17186421,0
104,538,0,0.0053332676,0
105,970,0,0.000982335,0
106,671,0,0.012145563,0
