,0,1
0,xgboost_seed_0_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[184, 13, 12, 14, 0.8878923766816144, 0.8814916048418586, 0.5384615384615384, 0.934010152284264, 0.5185185185185185, 0.9387755102040817, 0.5283018867924528, 0.4648209148893006]"
1,xgboost_seed_0_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[189, 8, 8, 18, 0.9282511210762332, 0.9588051542366263, 0.6923076923076923, 0.9593908629441624, 0.6923076923076923, 0.9593908629441624, 0.6923076923076923, 0.6516985552518547]"
2,xgboost_seed_0_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[188, 8, 11, 15, 0.9144144144144144, 0.9154238618524332, 0.5769230769230769, 0.9591836734693877, 0.6521739130434783, 0.9447236180904522, 0.6122448979591837, 0.5656861282844899]"
3,xgboost_seed_0_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[187, 9, 15, 11, 0.8918918918918919, 0.8602825745682889, 0.4230769230769231, 0.9540816326530612, 0.55, 0.9257425742574258, 0.47826086956521735, 0.4235922357718511]"
4,xgboost_seed_0_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[189, 7, 15, 11, 0.9009009009009009, 0.8732339089481947, 0.4230769230769231, 0.9642857142857143, 0.6111111111111112, 0.9264705882352942, 0.5, 0.4563321869611127]"
5,xgboost_seed_1_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[182, 15, 16, 10, 0.8609865470852018, 0.8884224912143693, 0.38461538461538464, 0.9238578680203046, 0.4, 0.9191919191919192, 0.39215686274509803, 0.3137868217885502]"
6,xgboost_seed_1_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[190, 7, 13, 13, 0.9103139013452914, 0.8672393596251464, 0.5, 0.9644670050761421, 0.65, 0.9359605911330049, 0.5652173913043479, 0.5216889502914478]"
7,xgboost_seed_1_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[188, 8, 9, 17, 0.9234234234234234, 0.9226844583987441, 0.6538461538461539, 0.9591836734693877, 0.68, 0.9543147208121827, 0.6666666666666666, 0.623581465217816]"
8,xgboost_seed_1_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[188, 8, 17, 9, 0.8873873873873874, 0.8836342229199372, 0.34615384615384615, 0.9591836734693877, 0.5294117647058824, 0.9170731707317074, 0.41860465116279066, 0.3692270341343566]"
9,xgboost_seed_1_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,"[189, 7, 7, 19, 0.9369369369369369, 0.9607535321821037, 0.7307692307692307, 0.9642857142857143, 0.7307692307692307, 0.9642857142857143, 0.7307692307692306, 0.695054945054945]"
