,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
0,xgboost_seed_0_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_0,606,75,62,175,0.851,0.905,0.738,0.89,0.7,0.907,0.719,0.618
1,xgboost_seed_0_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_1,606,75,57,180,0.856,0.904,0.759,0.89,0.706,0.914,0.732,0.634
2,xgboost_seed_0_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_2,608,73,68,169,0.846,0.905,0.713,0.893,0.698,0.899,0.706,0.602
3,xgboost_seed_0_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_4,607,74,65,172,0.849,0.906,0.726,0.891,0.699,0.903,0.712,0.61
4,xgboost_seed_1_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_0,603,78,62,175,0.847,0.906,0.738,0.885,0.692,0.907,0.714,0.611
5,xgboost_seed_1_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_1,607,74,65,172,0.849,0.904,0.726,0.891,0.699,0.903,0.712,0.61
6,xgboost_seed_1_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_2,613,68,69,168,0.851,0.909,0.709,0.9,0.712,0.899,0.71,0.61
7,xgboost_seed_1_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_3,602,79,58,179,0.851,0.902,0.755,0.884,0.694,0.912,0.723,0.622
8,xgboost_seed_1_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_4,616,65,68,169,0.855,0.906,0.713,0.905,0.722,0.901,0.718,0.62
9,xgboost_seed_2_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,2_skf_0,608,73,61,176,0.854,0.906,0.743,0.893,0.707,0.909,0.724,0.625
10,xgboost_seed_2_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,2_skf_1,600,81,63,174,0.843,0.904,0.734,0.881,0.682,0.905,0.707,0.601
11,xgboost_seed_2_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,2_skf_2,614,67,71,166,0.85,0.908,0.7,0.902,0.712,0.896,0.706,0.605
12,xgboost_seed_2_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,2_skf_3,610,71,60,177,0.857,0.899,0.747,0.896,0.714,0.91,0.73,0.633
