name,model,seed_x,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC,estimator_path,hyperparams,model_family,paras_id,scaler_path,seed_y,skf_fold
xgboost_seed_0_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_0,563,21,28,34,0.924,0.919,0.548,0.964,0.618,0.953,0.581,0.541,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_0_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_0_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,0,0
xgboost_seed_0_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_1,563,21,25,37,0.929,0.915,0.597,0.964,0.638,0.957,0.617,0.578,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_0_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_0_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,0,1
xgboost_seed_0_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_3,572,12,31,31,0.933,0.914,0.5,0.979,0.721,0.949,0.59,0.567,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_0_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_0_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,0,3
xgboost_seed_0_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,0_skf_4,564,20,26,36,0.929,0.897,0.581,0.966,0.643,0.956,0.61,0.572,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_0_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_0_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,0,4
xgboost_seed_1_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_0,561,23,26,36,0.924,0.918,0.581,0.961,0.61,0.956,0.595,0.553,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_1_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_1_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,1,0
xgboost_seed_1_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_1,565,19,28,34,0.927,0.914,0.548,0.967,0.642,0.953,0.591,0.554,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_1_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_1_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,1,1
xgboost_seed_1_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_2,565,19,27,35,0.929,0.919,0.565,0.967,0.648,0.954,0.603,0.566,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_1_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_1_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,1,2
xgboost_seed_1_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_3,564,20,26,36,0.929,0.902,0.581,0.966,0.643,0.956,0.61,0.572,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_1_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_1_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,1,3
xgboost_seed_1_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,1_skf_4,567,17,30,32,0.927,0.921,0.516,0.971,0.653,0.95,0.577,0.542,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_1_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_1_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,1,4
xgboost_seed_2_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,2_skf_0,564,20,28,34,0.926,0.914,0.548,0.966,0.63,0.953,0.586,0.547,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/estimators/xgboost_seed_2_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6.joblib,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 900, ""scale_pos_weight"": 6, ""subsample"": 0.8}",xgboost,151,/home/ubuntu/Desktop/DeepAmes_Full_STL_4_keep_weights/results_TA1535_without_S9/artifacts/base/xgboost/scalers/xgboost_seed_2_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6_scaler.joblib,2,0
