id,gmtamesQSAR_ID,SMILES,y_true,prob_weight6,class_weight6
0,gmtamesQSAR_3589,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,0,0.6935379,1
1,gmtamesQSAR_3600,O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl,0,0.72162604,1
2,gmtamesQSAR_3603,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,0,0.5684335,0
3,gmtamesQSAR_3613,O=C1CCc2c1cc(C(F)(F)F)c1c3c(ccc21)[C@H](O)[C@@H](O)C=C3,1,0.33242747,0
4,gmtamesQSAR_3633,COc1cc2c(cc1OC)CN(N=O)CC2,1,0.904275,1
5,gmtamesQSAR_3642,[O-][n+]1ccc2cnncc2c1,1,0.53382915,0
6,gmtamesQSAR_3655,O=C1CC2SCC=CN12,0,0.64267254,0
7,gmtamesQSAR_3660,CCc1nc2c(o1)CC(CC(C)S(=O)(=O)CC)CC2=O,0,0.83127165,1
8,gmtamesQSAR_3663,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,0,0.7998468,1
9,gmtamesQSAR_3664,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1,0,0.8515662,1
10,gmtamesQSAR_3668,O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1,0,0.73118246,1
11,gmtamesQSAR_3671,c1ccc2c(c1)C1OOC2c2ccccc21,0,0.551545,0
12,gmtamesQSAR_3689,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3=O,1,0.7097614,1
13,gmtamesQSAR_3692,CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl,0,0.8481097,1
14,gmtamesQSAR_3701,Cc1cc(C(=O)NNCc2ccccc2)no1,0,0.36922473,0
15,gmtamesQSAR_3703,CC1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCC(O)C1,0,0.8892361,1
16,gmtamesQSAR_3714,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)C[C@H]2CCCC[C@@H]21,0,0.8963034,1
17,gmtamesQSAR_3715,CC(=O)c1c(O)cc(C)oc1=O,0,0.8298148,1
18,gmtamesQSAR_3727,CC1=C(C(N)=O)[S+]([O-])CCO1,0,0.57325655,0
19,gmtamesQSAR_3732,N=c1c2[nH]cnc2ncn1O,0,0.6594616,1
20,gmtamesQSAR_3734,COC(=O)C1=C(C)N=C(C)C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,0.6712803,1
21,gmtamesQSAR_3740,c1ccc(CSCc2ccccc2)cc1,0,0.6472656,0
22,gmtamesQSAR_3767,C1COCCOCCOCCO1,0,0.77156717,1
23,gmtamesQSAR_3793,O=C1CCCCCCCCCCCCCCO1,0,0.8812021,1
24,gmtamesQSAR_3798,CCCC(=NOCC)C1C(=O)CC(C2CCCSC2)CC1=O,0,0.85909474,1
25,gmtamesQSAR_3819,Cc1nnc(-c2ccccc2)c(=O)n1N,0,0.8078766,1
26,gmtamesQSAR_3829,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C(=O)O)C5CC[C@]43C)[C@H]2C1,0,0.8454166,1
27,gmtamesQSAR_3848,CN(C)CCN(Cc1ccsc1)c1ccccn1,0,0.82410425,1
28,gmtamesQSAR_3857,C1=CC2c3ccccc3OC2O1,1,0.7171784,1
29,gmtamesQSAR_3879,CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O,0,0.8787731,1
30,gmtamesQSAR_3888,CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,0,0.80172086,1
31,gmtamesQSAR_3892,CC1=NC(=N)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)C(c2cccc([N+](=O)[O-])c2)C1C(=O)OC(C)C,0,0.7819388,1
32,gmtamesQSAR_3911,CC1(C)Nc2nc(=O)[nH]c(=O)n2C1O,0,0.65144163,1
33,gmtamesQSAR_3919,CCN(CC)c1ccc2nc3ccc(N(CC)CC)cc3[o+]c2c1,0,0.62212944,0
34,gmtamesQSAR_3923,C1CSCCS1,0,0.4983243,0
35,gmtamesQSAR_3936,c1ccc2cc3c(ccc4cccnc43)cc2c1,0,0.76456577,1
36,gmtamesQSAR_3939,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,1,0.28215504,0
37,gmtamesQSAR_3944,CCCCc1c(C)[nH]c(NCC)nc1=O,0,0.6951441,1
38,gmtamesQSAR_3970,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,1,0.6050876,0
39,gmtamesQSAR_3983,Nc1ccccc1SCSc1ccccc1N,1,0.7372881,1
40,gmtamesQSAR_3996,O=C(NCCc1ncc(C(F)(F)F)cc1Cl)c1ccccc1C(F)(F)F,0,0.87760365,1
41,gmtamesQSAR_4018,C[C@]12CC[C@H](OC(=O)/C=C/c3cccc(N(CCCl)CCCl)c3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)NC(=O)CC[C@@H]12,0,0.80646014,1
42,gmtamesQSAR_4020,[O]S(=O)(=O)c1ccc2cc(Oc3ccc4cc(S([O])(=O)=O)ccc4c3)ccc2c1,0,0.8079458,1
43,gmtamesQSAR_4024,CCC(C)c1[nH]c(O)c(C(C)=O)c1O,0,0.71162856,1
44,gmtamesQSAR_4026,[O]C(=O)c1[nH]n(-c2ccc(S([O])(=O)=O)cc2)c(=O)c1N=Nc1ccc(S([O])(=O)=O)cc1,0,0.8052608,1
45,gmtamesQSAR_4039,C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)NC(=O)CC[C@@H]12,0,0.8676645,1
46,gmtamesQSAR_4040,Nc1nc(N)nc(-c2ccccc2)n1,0,0.48770964,0
47,gmtamesQSAR_4058,CCO[C@@H]1[C@@H](OC)[C@H](C)O[C@@H](O[C@@H]2C[C@H]3CC[C@@H]4C(=CC5C(=O)C(C)[C@@H](OC6CC[C@H](NC)[C@@H](C)O6)CCC[C@H](CC)OC(=O)C[C@H]54)[C@@H]3C2)[C@@H]1OC,0,0.92075163,1
48,gmtamesQSAR_4066,Cc1nc2c(c3[nH]c4ccccc4c13)C(=O)C=C(N1CC1)C2=O,1,0.8853679,1
49,gmtamesQSAR_4070,NC(=O)c1cc[n+](COCN2C=CC=CC2=C=[NH+]O)cc1,0,0.50078094,0
50,gmtamesQSAR_4076,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,1,0.6886221,1
51,gmtamesQSAR_4079,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2)N1,0,0.28088516,0
52,gmtamesQSAR_4080,CC1CC2(OC2C)C(=O)OC2CCN(C)C/C=C(/COC(=O)C1(C)O)C2=O,1,0.9506228,1
53,gmtamesQSAR_4081,COc1cc2c3c(cc4cc5c(cc4c3c1OC)OCO5)N(C)CC2,0,0.90231323,1
54,gmtamesQSAR_4089,COC1=CC=CC=CC1,0,0.824487,1
55,gmtamesQSAR_4090,CC(C)C(O)(C(=O)OC[C@@H]1CCN2CCC[C@H]12)C(C)O,0,0.7902247,1
56,gmtamesQSAR_4101,c1ccc2c(c1)ccc1cc3c(ccc4ccncc43)cc12,1,0.608298,0
57,gmtamesQSAR_4109,CCCCCCC(O)C1C2=C(CC(C(O)C3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)C1O)C(=O)OC2=O,0,0.88662285,1
58,gmtamesQSAR_4110,CC1(C)[C@@H](O[C@H]2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)C3C(=O)C=C4C5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,0,0.8433157,1
59,gmtamesQSAR_4133,Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,0,0.6765595,1
60,gmtamesQSAR_4139,COc1ccc(C(=O)Nc2ccccc2)cc1N=Nc1c(O)c(C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc2ccccc12,0,0.73736066,1
61,gmtamesQSAR_4146,O[C@H]1C=Cc2c(ccc3cc4c5c(ccc4cc23)[C@H](O)[C@@H](O)C=C5)[C@@H]1O,0,0.7534334,1
62,gmtamesQSAR_4157,C1=COc2c(c3cc4ccccc4cc3c3ccccc23)C=C1,1,0.5633965,0
63,gmtamesQSAR_4160,N=C(N)N=NC(C=Cc1ccc([N+](=O)[O-])o1)=CCc1ccc([N+](=O)[O-])o1,1,0.87420994,1
64,gmtamesQSAR_4169,CC1OCC(=O)C(=O)C1O,1,0.80110466,1
