id,gmtamesQSAR_ID,SMILES,y_true,prob_weight6,class_weight6
0,gmtamesQSAR_3589,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,0,0.2194269,0
1,gmtamesQSAR_3600,O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl,0,0.63551486,0
2,gmtamesQSAR_3663,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,0,0.09334329,0
3,gmtamesQSAR_3703,CC1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCC(O)C1,0,0.11908144,0
4,gmtamesQSAR_3715,CC(=O)c1c(O)cc(C)oc1=O,0,0.14776453,0
5,gmtamesQSAR_3740,c1ccc(CSCc2ccccc2)cc1,0,0.2452353,0
6,gmtamesQSAR_3746,O=C(O)C1CS[C@H](c2ccccc2O)N1C(=O)CCSSCCC(=O)N1C(C(=O)O)CS[C@@H]1c1ccccc1O,0,0.13509947,0
7,gmtamesQSAR_3798,CCCC(=NOCC)C1C(=O)CC(C2CCCSC2)CC1=O,0,0.21516258,0
8,gmtamesQSAR_3819,Cc1nnc(-c2ccccc2)c(=O)n1N,0,0.6589854,1
9,gmtamesQSAR_3848,CN(C)CCN(Cc1ccsc1)c1ccccn1,0,0.21220264,0
10,gmtamesQSAR_3923,C1CSCCS1,0,0.25268623,0
11,gmtamesQSAR_3928,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,0,0.23963153,0
12,gmtamesQSAR_3944,CCCCc1c(C)[nH]c(NCC)nc1=O,0,0.13001016,0
13,gmtamesQSAR_3978,Nc1ccc(N=Nc2ccc(N=Nc3c(S([O])(=O)=O)cc4cc(S([O])(=O)=O)c(N=Nc5ccc(N=Nc6ccc(N)cc6N)cc5)c(O)c4c3N)cc2)c(N)c1,0,0.20261493,0
14,gmtamesQSAR_4070,NC(=O)c1cc[n+](COCN2C=CC=CC2=C=[NH+]O)cc1,0,0.14325258,0
15,gmtamesQSAR_4109,CCCCCCC(O)C1C2=C(CC(C(O)C3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)C1O)C(=O)OC2=O,0,0.12361398,0
