gmtamesQSAR_ID,Strain,Endpoint,TrainValTest,SMILES
gmtamesQSAR_0008,TA100,Negative,Train,C=C1C/C(=C\C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@]1(C)O)[C@H]23
gmtamesQSAR_0013,TA100,Negative,Train,Clc1ccc(/N=N/c2ccc(Cl)c(Cl)c2)cc1Cl
gmtamesQSAR_0014,TA100,Negative,Train,Cc1nn(-c2cc(CCC(=O)O)c(Cl)cc2F)c(=O)n1C(F)F
gmtamesQSAR_0015,TA100,Negative,Train,O=C(O)CC(=O)N=C(NOCC1CC1)c1c(C(F)(F)F)ccc(F)c1F
gmtamesQSAR_0017,TA100,Negative,Train,CNc1nc(=O)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC)[nH]1
gmtamesQSAR_0019,TA100,Positive,Train,CCN(CC)c1cc(NC(C)=O)c(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC
gmtamesQSAR_0022,TA100,Positive,Train,O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccccc1-2
gmtamesQSAR_0024,TA100,Negative,Train,O=[N+]([O-])Nc1nccn1Cc1ccc(Cl)nc1
gmtamesQSAR_0028,TA100,Negative,Train,Cc1ccccc1NS(=O)(=O)c1cccc2cccnc12
gmtamesQSAR_0029,TA100,Positive,Train,c1ccc2c(c1)-c1ccc3ccccc3c1C1NC21
gmtamesQSAR_0030,TA100,Negative,Train,CC(CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3C[C@@H](O)[C@]12C
gmtamesQSAR_0031,TA100,Negative,Train,Clc1ccc2c(Cl)ccnc2c1
gmtamesQSAR_0032,TA100,Negative,Train,CC(=O)Nc1ccc(C=Cc2ccccc2)cc1
gmtamesQSAR_0035,TA100,Negative,Train,CC(=O)Nc1ccc(C)c(N=Nc2cc(NC(C)=O)ccc2C)c1
gmtamesQSAR_0039,TA100,Negative,Train,COC(=O)/C(Br)=C(/OP(=O)(OC)OC)c1ccc(Cl)cc1Cl
gmtamesQSAR_0040,TA100,Positive,Train,COc1cccc2c(NCCCNCCCl)c3ccccc3nc12
gmtamesQSAR_0044,TA100,Negative,Train,c1coc(-c2nc3ccccc3[nH]2)c1
gmtamesQSAR_0045,TA100,Negative,Train,CCOC(=O)Cc1c(C(=O)O)c2ccccc2n1C
gmtamesQSAR_0048,TA100,Positive,Train,O=[N+]([O-])c1ccc(OC[C@@H]2CO2)cc1
gmtamesQSAR_0049,TA100,Negative,Train,C=CC(=O)OCC(C)(C)C
gmtamesQSAR_0050,TA100,Negative,Train,COC(=O)C12Oc3ccc(-c4ccc5c(c4O)C(=O)C4C(=O)CC(C)C(O)C4(C(=O)OC)O5)c(O)c3C(=O)C1C(=O)CC(C)C2O
gmtamesQSAR_0051,TA100,Negative,Train,COP(=O)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
gmtamesQSAR_0052,TA100,Negative,Train,Nc1ccc(S(=O)(=O)O)cc1
gmtamesQSAR_0053,TA100,Negative,Train,c1ccc(/N=N/c2ccccc2)cc1
gmtamesQSAR_0056,TA100,Negative,Train,O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O
gmtamesQSAR_0057,TA100,Negative,Train,O=[N+]([O-])C=Cc1ccccc1
gmtamesQSAR_0058,TA100,Positive,Train,Nc1ncnc2[nH]c(-c3ccc([N+](=O)[O-])cc3)nc12
gmtamesQSAR_0061,TA100,Negative,Train,CC1CCCC1
gmtamesQSAR_0063,TA100,Negative,Train,O=C(/C=C/c1ccccc1)c1ccc([N+](=O)[O-])cc1
gmtamesQSAR_0064,TA100,Negative,Train,[O]S(=O)(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
gmtamesQSAR_0065,TA100,Negative,Train,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
gmtamesQSAR_0066,TA100,Negative,Train,CCCCCCCCCCCCC1CO1
gmtamesQSAR_0067,TA100,Negative,Train,COC(=O)c1ccccc1CS(N)(=O)=O
gmtamesQSAR_0068,TA100,Positive,Train,O=[N+]([O-])c1cc2ccc3cccc4ccc(c1O)c2c34
gmtamesQSAR_0070,TA100,Negative,Train,O=[N+]([O-])c1ccccc1S(=O)(=O)O
gmtamesQSAR_0073,TA100,Positive,Train,NNc1ccc([N+](=O)[O-])cc1
gmtamesQSAR_0074,TA100,Positive,Train,Cc1ccc(-c2nc3n(c2[N+](=O)[O-])CCS3)cc1
gmtamesQSAR_0076,TA100,Negative,Train,Cc1ccc2cccnc2c1
gmtamesQSAR_0077,TA100,Negative,Train,CC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
gmtamesQSAR_0081,TA100,Negative,Train,CCS(=O)(=O)c1cccnc1N(C(N)=O)c1nc(OC)cc(OC)n1
gmtamesQSAR_0082,TA100,Negative,Train,O=C(O)c1cc(Cl)ccc1Cl
gmtamesQSAR_0084,TA100,Negative,Train,O=[N+]([O-])c1ccccc1CBr
gmtamesQSAR_0085,TA100,Negative,Train,O=C(CC(O)C(=O)OCCBr)OCCBr
gmtamesQSAR_0088,TA100,Negative,Train,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
gmtamesQSAR_0089,TA100,Negative,Train,CCCNc1snc2ccccc12
gmtamesQSAR_0090,TA100,Positive,Train,CCCC(=O)OCc1ccc([N+](=O)[O-])cc1
gmtamesQSAR_0098,TA100,Negative,Train,C=C(C)C(=O)OC
gmtamesQSAR_0099,TA100,Positive,Train,CCCCON(OC(C)=O)C(=O)c1ccc(Cl)cc1
gmtamesQSAR_0100,TA100,Positive,Train,c1ccc2c(c1)-c1ccccc1[C@@H]1O[C@H]21
gmtamesQSAR_0101,TA100,Negative,Train,CC(=O)Nc1snc2ccccc12
gmtamesQSAR_0102,TA100,Positive,Train,CCOC(=O)C(C)Br
gmtamesQSAR_0103,TA100,Negative,Train,CCOCCO
gmtamesQSAR_0104,TA100,Positive,Train,CCOS(=O)(=O)c1ccc(C)cc1
gmtamesQSAR_0105,TA100,Negative,Train,CC1(C)O[C@H]1COc1c2occc2cc2ccc(=O)oc12
gmtamesQSAR_0106,TA100,Negative,Train,CCC(C)Nc1ccc(NC(C)CC)cc1
gmtamesQSAR_0110,TA100,Negative,Train,COC(=O)c1oc(NO)c(-c2ccccc2)c1-c1ccccc1
gmtamesQSAR_0111,TA100,Negative,Train,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
gmtamesQSAR_0113,TA100,Negative,Train,Nc1ccc(N=Nc2ccccc2)c(N)n1
gmtamesQSAR_0114,TA100,Positive,Train,O=C(O)CCCl
gmtamesQSAR_0118,TA100,Positive,Train,N=C1CC(=O)C(=O)c2ccccc21
gmtamesQSAR_0120,TA100,Negative,Train,C=C(C)C(=O)OCC(C)O
gmtamesQSAR_0121,TA100,Negative,Train,Nc1nc2ccc([N+](=O)[O-])cc2s1
gmtamesQSAR_0123,TA100,Positive,Train,ClCC1CO1
gmtamesQSAR_0125,TA100,Negative,Train,Cc1ccc(N)c(C)c1
