2026-02-04 14:09:40,548|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2026-02-04 14:09:40,548|INFO|__main__.startLogging|mode:|mtg
2026-02-04 14:09:40,548|INFO|__main__.startLogging|tasks:|TA97
2026-02-04 14:09:40,548|INFO|__main__.startLogging|testsplit:|scaffold
2026-02-04 14:09:40,548|INFO|__main__.startLogging|output:|mtg_experiment_scaffold
2026-02-04 14:09:40,548|INFO|__main__.startLogging|device:|mps
2026-02-04 14:09:40,548|INFO|__main__.startLogging|DONE
2026-02-04 14:09:40,548|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2026-02-04 14:09:40,868|INFO|mtg.runMTGExperiment|Device confirmed:|mps
2026-02-04 14:09:40,942|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|1142
2026-02-04 14:09:40,942|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|1|1142
2026-02-04 14:09:40,953|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|315
2026-02-04 14:09:40,953|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|1|315
2026-02-04 14:09:41,554|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2026-02-04 14:09:41,554|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.5108473421172195]
2026-02-04 14:09:41,554|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.714447978191731]
2026-02-04 14:09:41,554|INFO|nn.computeOptunaObjective|Trial 0 timings:|0.6009894170019834
2026-02-04 14:09:41,554|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.5108473421172195
2026-02-04 14:09:41,824|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'linear', 'lr': 0.0001, 'n_epochs': 100}
2026-02-04 14:09:41,824|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.5]
2026-02-04 14:09:41,824|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.6983189459336665]
2026-02-04 14:09:41,824|INFO|nn.computeOptunaObjective|Trial 1 timings:|0.26997612500053947
